Id,Date,Name,Active,JobTitle,Affiliation,Institution,GrossSalary_Year,GrossSalary_Month,GrossSalary_Month_Base,GrossSalary_Month_Supplement,GrossSalary_Month_Diets,BirthDate
"57,08-11-2021,Emilio Terroba Moreno,1,Alcalde Del Ayuntamiento De Ajamil De Cameros,PP,Ayuntamiento De Ajamil De Cameros,""0,00"",""0,00"",,,,"
"58,08-11-2021,Rodrigo Alba Martínez,1,Alcalde Del Ayuntamiento De Cabezón De Cameros,PP,Ayuntamiento De Cabezón De Cameros,""0,00"",""0,00"",,,,"
"59,08-11-2021,María Elena Concepción Martínez Aguirre,1,Alcaldesa Del Ayuntamiento De Hervías,PP,Ayuntamiento De Hervías,""0,00"",""0,00"",,,,"
"60,08-11-2021,Julián Del Campo Fernández,1,Alcalde Del Ayuntamiento De Hornillos De Cameros,PP,Ayuntamiento De Hornillos De Cameros,""0,00"",""0,00"",,,,"
"61,08-11-2021,Raquel Sáenz Blanco,1,Alcaldesa Del Ayuntamiento De Jalón De Cameros,PP,Ayuntamiento De Jalón De Cameros,""0,00"",""0,00"",,,,"
"62,08-11-2021,Juan Carlos Duarte Díez,1,Alcalde Del Ayuntamiento De Leza De Río Leza,PP,Ayuntamiento De Leza De Río Leza,""0,00"",""0,00"",,,,"
"63,08-11-2021,Sergio Chicote Beltrán,1,Alcalde Del Ayuntamiento De Murillo De Río Leza,PSOE,Ayuntamiento De Murillo De Río Leza,""900,00"",""64,29"",,,,"
"64,08-11-2021,Andrés Escolar López,1,Alcalde Del Ayuntamiento De Rabanera,PP,Ayuntamiento De Rabanera,""0,00"",""0,00"",,,,"
"65,08-11-2021,Maria Pilar Cristobal Villoslada,1,Alcaldesa Del Ayuntamiento De San Román De Cameros,PR+,Ayuntamiento De San Román De Cameros,""0,00"",""0,00"",,,,"
"66,08-11-2021,Pedro Elías Cristóbal Hernáez,1,Alcalde Del Ayuntamiento De Soto En Cameros,PP,Ayuntamiento De Soto En Cameros,""0,00"",""0,00"",,,,"
"67,08-11-2021,Raúl Lavega Herce,1,Alcalde Del Ayuntamiento De Tudelilla,PP,Ayuntamiento De Tudelilla,""0,00"",""0,00"",,,,"
"68,08-11-2021,Jose Antonio Salinero Rios,1,Alcalde Del Ayuntamiento De Alaraz,Cs,Ayuntamiento De Alaraz,""0,00"",""0,00"",,,,"
"69,08-11-2021,Jesus Maria Ortiz Fernandez,1,Alcalde Del Ayuntamiento De Barruecopardo,PP,Ayuntamiento De Barruecopardo,""350,00"",""25,00"",,,,"
"70,08-11-2021,Manuel Rufino Garcia Nuñez,1,Alcalde Del Ayuntamiento De Fuente De San Esteban La,PP,Ayuntamiento De Fuente De San Esteban La,""0,00"",""0,00"",,,,"
"71,08-11-2021,Manuel González Coca,1,Alcalde Del Ayuntamiento De Miranda Del Castañar,PSOE,Ayuntamiento De Miranda Del Castañar,""0,00"",""0,00"",,,,"
